name,code
os,3279697
sys,3081854
re,1304857
datetime,1076425
shutil,968583
codecs,962628
tempfile,956400
subprocess,896718
unittest,860132
logging,801996
test,667881
distutils,606720
threading,604834
random,591001
traceback,572351
glob,512825
socket,448705
pickle,436638
urllib,417443
time,375488
itertools,351353
zipfile,341762
argparse,339480
warnings,332839
optparse,326625
ctypes,296987
errno,296421
textwrap,288605
getopt,288159
functools,281709
json,280011
hashlib,278445
configparser,277851
pprint,262349
doctest,257138
math,252954
base64,229297
weakref,217494
collections,214953
string,212314
pdb,189849
fnmatch,188088
gettext,186160
inspect,179613
mimetypes,177925
operator,172663
contextlib,170801
cgi,159051
signal,158347
copy,157670
gzip,157132
builtins,156287
getpass,155415
sqlite3,150022
decimal,147409
ssl,133346
platform,133125
stat,131861
atexit,128105
tarfile,127994
types,127553
site,127065
sysconfig,126282
binascii,125500
importlib,124470
gc,124002
shlex,112635
zlib,111197
imp,110417
fcntl,106252
multiprocessing,104542
tkinter,102314
bisect,95296
http,89430
pkgutil,87284
unicodedata,85593
zipimport,81145
uuid,77185
ast,76487
marshal,75356
locale,72305
parser,72183
pwd,66964
token,63907
difflib,63416
smtplib,62938
xml,61913
hmac,60987
webbrowser,60074
queue,59789
encodings,59684
select,58159
email,56891
struct,55493
readline,53114
__main__,51528
plistlib,51358
linecache,51290
winreg,51255
pydoc,48767
termios,45512
socketserver,44506
msvcrt,44435
calendar,42627
resource,40027
fileinput,39202
io,37998
xmlrpc,36917
bz2,35999
heapq,34015
curses,33551
cProfile,32675
keyword,32649
pstats,30948
grp,30545
dummy_threading,30432
array,30101
profile,29562
asyncore,28291
abc,28279
cgitb,27029
netrc,24856
timeit,24521
shelve,23609
formatter,22302
wsgiref,20983
tokenizer,19864
asyncio,18293
posix,18066
ftplib,17913
mmap,17831
rlcompleter,17622
compileall,17413
crypt,16387
copyreg,15959
symbol,15722
dis,15675
turtle,14363
tty,14229
filecmp,14116
enum,14099
pipes,14009
numbers,12663
ipaddress,12420
html,12144
bdb,11405
dbm,11349
audioop,11038
pty,10187
cmd,9900
syslog,9749
__future__,9556
asynchat,8981
telnetlib,8622
trace,8498
code,8460
imaplib,8410
cmath,8379
wave,8269
aifc,7569
colorsys,7542
imghdr,7164
lzma,6815
quopri,6813
statistics,6625
py_compile,6542
stringprep,6463
sndhdr,6000
modulefinder,5451
fractions,5337
msilib,5325
uu,5242
symtable,5052
pickletools,4927
chunk,4886
mailbox,4732
concurrent,4722
selectors,4722
sched,4502
runpy,4490
pyclbr,4136
tabnanny,3398
poplib,3258
smtpd,3254
sunau,3162
macpath,2524
xdrlib,2458
nntplib,2260
lib2to3,2231
winsound,2127
faulthandler,2118
binhex,1994
mailcap,1863
codeop,1849
reprlib,1683
spwd,1361
ensurepip,1317
typing,1169
ossaudiodev,970
venv,598
nis,484
tracemalloc,397
zipapp,48
fpectl,37
turtledemo,7
pathlib,0
